               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.069564,            0.048595,            0.085177,             0.26741,           0.0044444,          0.00016969,          5.4129e-05,            0.053614,            0.019995,             0.22389,            0.070137,           0.0033181,           0.0033181
                   1,            0.060485,            0.029819,            0.081781,           0.0011399,            0.055685,           0.0026724,          0.00060061,            0.039224,           0.0070107,            0.059205,            0.040071,           0.0065856,           0.0065856
                   2,             0.05525,            0.021534,            0.070595,          0.00035719,             0.14599,          0.00059654,          0.00013391,            0.037256,           0.0084472,            0.066846,           0.0099393,           0.0097871,           0.0097871
                   3,            0.052002,            0.018578,            0.054621,          0.00054855,             0.17946,           0.0038681,           0.0010303,            0.040655,           0.0065651,            0.031045,            0.009703,            0.009703,            0.009703
                   4,            0.050478,            0.017912,            0.045763,            0.004529,             0.35393,            0.021216,           0.0052654,            0.037062,           0.0067316,            0.024843,            0.009703,            0.009703,            0.009703
                   5,            0.049261,             0.01796,             0.04168,          0.00054245,             0.14196,          0.00077847,          0.00015659,            0.042439,           0.0075108,            0.025737,            0.009604,            0.009604,            0.009604
                   6,            0.047772,            0.017929,            0.037371,             0.87134,            0.017778,            0.066483,            0.017663,            0.031503,           0.0080521,            0.017328,            0.009505,            0.009505,            0.009505
                   7,            0.044974,            0.017753,            0.035122,           0.0095703,             0.34551,            0.043824,            0.011814,            0.032857,           0.0078449,            0.029603,            0.009406,            0.009406,            0.009406
                   8,              0.0426,            0.017118,            0.032125,             0.64948,             0.14102,            0.082868,            0.024836,            0.028488,           0.0081813,            0.013315,            0.009307,            0.009307,            0.009307
                   9,            0.040488,            0.016812,            0.029086,             0.75004,             0.15655,              0.1539,            0.052577,            0.030137,           0.0067838,            0.011902,            0.009208,            0.009208,            0.009208
                  10,            0.041053,            0.016636,            0.029707,             0.74543,             0.12863,             0.17164,            0.056001,            0.026028,           0.0067171,            0.010952,            0.009109,            0.009109,            0.009109
                  11,            0.040798,            0.016452,            0.026129,             0.77935,             0.11465,             0.19683,            0.055275,            0.027854,           0.0073476,           0.0099377,             0.00901,             0.00901,             0.00901
                  12,            0.041222,            0.016183,            0.025976,             0.60457,             0.19079,               0.216,            0.073005,            0.031565,           0.0066191,           0.0089733,            0.008911,            0.008911,            0.008911
                  13,            0.037943,            0.016195,            0.023304,             0.66355,             0.21875,             0.24781,            0.093275,            0.028216,           0.0068479,            0.010464,            0.008812,            0.008812,            0.008812
                  14,             0.03743,            0.016033,            0.023062,             0.57714,             0.29526,             0.28845,             0.10561,            0.023082,            0.006658,            0.010568,            0.008713,            0.008713,            0.008713
                  15,            0.038345,            0.015693,            0.022592,             0.56577,             0.31178,             0.33011,               0.109,            0.027912,            0.006182,           0.0080259,            0.008614,            0.008614,            0.008614
                  16,            0.040267,            0.015446,            0.022838,             0.51981,             0.29834,             0.29669,             0.10536,            0.026205,           0.0064653,           0.0095245,            0.008515,            0.008515,            0.008515
                  17,            0.037812,            0.015547,            0.020731,             0.60751,             0.32203,             0.37292,              0.1348,            0.025371,            0.006964,           0.0075266,            0.008416,            0.008416,            0.008416
                  18,            0.037316,            0.015164,            0.019851,             0.42527,             0.29687,             0.26093,            0.095968,            0.027809,           0.0062519,           0.0073442,            0.008317,            0.008317,            0.008317
                  19,            0.036811,            0.015575,            0.019122,             0.55121,             0.32519,             0.29859,             0.10782,             0.02378,           0.0062029,           0.0054381,            0.008218,            0.008218,            0.008218
                  20,            0.035933,            0.014897,            0.018462,             0.54304,             0.35019,             0.36823,             0.13832,            0.028333,            0.006582,           0.0056785,            0.008119,            0.008119,            0.008119
                  21,            0.036999,            0.015219,            0.019232,             0.50535,             0.44639,              0.4632,             0.17771,            0.026235,           0.0057221,           0.0050203,             0.00802,             0.00802,             0.00802
                  22,            0.035911,            0.015087,            0.017538,             0.49887,              0.4438,             0.40045,             0.16247,            0.022897,           0.0063651,           0.0046157,            0.007921,            0.007921,            0.007921
                  23,              0.0354,            0.014563,            0.016537,             0.67461,             0.40839,             0.48307,             0.18956,            0.023334,           0.0057305,           0.0045844,            0.007822,            0.007822,            0.007822
                  24,            0.033934,            0.014652,            0.016752,             0.78881,             0.35138,             0.49459,             0.20163,            0.020812,           0.0066852,           0.0045514,            0.007723,            0.007723,            0.007723
                  25,            0.035696,            0.014245,            0.016917,             0.57009,              0.4454,             0.48746,             0.18617,            0.023395,           0.0058292,           0.0054796,            0.007624,            0.007624,            0.007624
                  26,            0.035569,            0.014282,            0.015926,             0.56236,             0.44965,             0.46166,             0.16972,            0.021674,           0.0059281,           0.0049688,            0.007525,            0.007525,            0.007525
                  27,            0.034708,            0.014057,            0.015686,             0.68826,             0.42765,              0.5337,               0.225,            0.020859,           0.0059509,           0.0038472,            0.007426,            0.007426,            0.007426
                  28,            0.035598,            0.014325,            0.014866,             0.65552,             0.44666,             0.56545,             0.22644,            0.022147,           0.0055159,            0.005565,            0.007327,            0.007327,            0.007327
